日期,商品代碼,商品名稱,契約月份,開盤價,最高價,最低價,收盤價,漲跌,漲跌%,結算價,未平倉量,最佳買價,最佳賣價,歷史最高價,歷史最低價
2025/11/24,TX,臺股期貨,202512,26705.0,26730.0,26536.0,26615.0,139.0,0.53,26614.0,72691,26611.0,26615.0,28611.0,16873.0
2025/11/24,TX,臺股期貨,202601,26730.0,26745.0,26556.0,26634.0,132.0,0.5,26632.0,1419,26630.0,26635.0,28626.0,26277.0
2025/11/24,TX,臺股期貨,202602,26730.0,26764.0,26600.0,26636.0,99.0,0.37,26660.0,74,26656.0,26664.0,27580.0,26305.0
2025/11/24,TX,臺股期貨,202603,26707.0,26707.0,26590.0,26600.0,88.0,0.33,26636.0,613,26632.0,26641.0,28611.0,17068.0
2025/11/24,TX,臺股期貨,202606,26739.0,26740.0,26580.0,26650.0,131.0,0.49,26637.0,259,26633.0,26642.0,28593.0,20819.0
2025/11/24,TX,臺股期貨,202609,26542.0,26554.0,26422.0,26422.0,110.0,0.42,26422.0,109,26412.0,26432.0,28363.0,24962.0
2025/11/25,TX,臺股期貨,202512,27055.0,27105.0,26773.0,26933.0,319.0,1.2,26933.0,71578,26935.0,26938.0,28611.0,16873.0
2025/11/25,TX,臺股期貨,202601,27075.0,27114.0,26792.0,26951.0,319.0,1.2,26948.0,1674,26951.0,26957.0,28626.0,26277.0
2025/11/25,TX,臺股期貨,202602,27082.0,27112.0,26836.0,26980.0,320.0,1.2,26980.0,81,26974.0,26981.0,27580.0,26305.0
2025/11/25,TX,臺股期貨,202603,27064.0,27064.0,26800.0,26944.0,308.0,1.16,26957.0,617,26954.0,26961.0,28611.0,17068.0
2025/11/25,TX,臺股期貨,202606,27039.0,27039.0,26837.0,26950.0,313.0,1.18,26950.0,263,26956.0,26962.0,28593.0,20819.0
2025/11/25,TX,臺股期貨,202609,26422.0,,,26422.0,0.0,0.0,26741.0,112,26736.0,26747.0,28363.0,24962.0
2025/11/26,TX,臺股期貨,202512,27188.0,27384.0,27133.0,27329.0,396.0,1.47,27339.0,75477,27329.0,27332.0,28611.0,16873.0
2025/11/26,TX,臺股期貨,202601,27194.0,27390.0,27148.0,27339.0,391.0,1.45,27348.0,1810,27338.0,27345.0,28626.0,26277.0
2025/11/26,TX,臺股期貨,202602,27215.0,27390.0,27183.0,27375.0,395.0,1.46,27375.0,108,27356.0,27363.0,27580.0,26305.0
2025/11/26,TX,臺股期貨,202603,27168.0,27389.0,27155.0,27334.0,377.0,1.4,27334.0,628,27334.0,27341.0,28611.0,17068.0
2025/11/26,TX,臺股期貨,202606,27167.0,27375.0,27167.0,27335.0,385.0,1.43,27335.0,261,27333.0,27340.0,28593.0,20819.0
2025/11/26,TX,臺股期貨,202609,27002.0,27002.0,27002.0,27002.0,261.0,0.98,27104.0,123,27099.0,27110.0,28363.0,24962.0
2025/11/27,TX,臺股期貨,202512,27518.0,27649.0,27461.0,27583.0,244.0,0.89,27579.0,73249,27582.0,27583.0,28611.0,16873.0
2025/11/27,TX,臺股期貨,202601,27550.0,27656.0,27477.0,27592.0,244.0,0.89,27592.0,1895,27593.0,27597.0,28626.0,26277.0
2025/11/27,TX,臺股期貨,202602,27561.0,27615.0,27522.0,27522.0,147.0,0.54,27619.0,112,27617.0,27622.0,27615.0,26305.0
2025/11/27,TX,臺股期貨,202603,27570.0,27648.0,27500.0,27589.0,255.0,0.93,27601.0,628,27599.0,27604.0,28611.0,17068.0
2025/11/27,TX,臺股期貨,202606,27519.0,27632.0,27519.0,27600.0,265.0,0.97,27600.0,265,27596.0,27602.0,28593.0,20819.0
2025/11/27,TX,臺股期貨,202609,27283.0,27283.0,27278.0,27280.0,176.0,0.65,27368.0,129,27363.0,27373.0,28363.0,24962.0
2025/11/28,TX,臺股期貨,202512,27590.0,27854.0,27558.0,27744.0,165.0,0.6,27737.0,73818,27742.0,27745.0,28611.0,16873.0
2025/11/28,TX,臺股期貨,202601,27600.0,27866.0,27576.0,27754.0,162.0,0.59,27755.0,1790,27757.0,27763.0,28626.0,26277.0
2025/11/28,TX,臺股期貨,202602,27622.0,27880.0,27622.0,27787.0,168.0,0.61,27787.0,118,27781.0,27787.0,27880.0,26305.0
2025/11/28,TX,臺股期貨,202603,27637.0,27835.0,27588.0,27835.0,234.0,0.85,27765.0,630,27762.0,27768.0,28611.0,17068.0
2025/11/28,TX,臺股期貨,202606,27786.0,27806.0,27783.0,27806.0,206.0,0.75,27762.0,259,27759.0,27766.0,28593.0,20819.0
2025/11/28,TX,臺股期貨,202609,27444.0,27444.0,27444.0,27444.0,76.0,0.28,27528.0,129,27516.0,27541.0,28363.0,24962.0
